Number,Comments
159,"As a gift for my 60th birthday, my wife gifted me a great kilt package from usa kilts, and I have absolutely nothing but the very best things to say about them and their products! Everything that arrived was of top-shelf quality, their service was timely, products reasonably priced, and the people I interacted with during the process were all wonderful! They haven't seen the last of me!"
160,"I am just becoming a serial kilter. I have a heavier, ""nicer"" kilt that I got myself for my wedding (My dress cost more than my wife's), but I am looking for something to be an everyday knock-about casual kilt. The people at USA Kilts have been very helpful and patient helping me get up to speed about the various options available to me. This order was just for some swatches, but the customer service has been out of this world!"
161,"After searching online for a pair of Royal Robbins shorts, I finally found the color and size I needed at New Horizons Trading. Customer service was excellent. They confirmed the item was in stock and double checked on the shipping address. Shipping was quick and efficient. I am very happy with the purchase I made and would highly recommend this company."
162,Got my shoes quickly and they were good quality
163,"Service was outstanding! I ordered online, but had a minor problem with my address. I phoned the store and they were great! Outstanding people. Thank you all!"
164,I received my order very quickly from New Horizons Trading. Package arrived within a few days and was packed very nicely with a personal touch. There was a hand-written card inside thanking me for my order. Great customer service for an online purchase. I will definitely order from this company again!!
165,New Horizons was great.  They had exactly what I wanted for a great price and got it out to me quickly. Literally could not ask for better service.
166,The sun hat and shorts are high quality and should last a long time. The items were thoughtfully packaged and included a small gift for my daughter with a hand written thank you note for shopping small. The little touches combined with great products makes New Horizons a win win!
167,"Pleasant surprise with New Horizons Trading, found what I wanted at the best price and had my order within a couple days.  With that order came a for real handwritten thank you note with a 10% discount code.  So I went ahead and got my wife some boots that she needed and they arrived just as promptly.  You never know what an experience will be like ordering from a new place, but this is a gem.  I’ll be a return customer for sure!Ira G."
168,I searched Keen on FB for wet shoes for my daughter size 6.5 and I picked your store. I was treated well on the chat with the lady and I received shipment that was well wrapped and a personal thank you note from Mary for shopping with New Horizons. I would recommend shopping here. I’m not sure which store it came from as I’m not at home with the box it came in. Thank you
169,"New Horizons Trading in Downtown Pittsboro is my ""go to,"" ""gotta see what's new"" clothing store.  I always find interesting, comfortable and fun clothes, shoes and gifts there. The staff are friendly and always willing to help but will also let you browse to your hearts content without bothering you.  I love to visit anytime I'm in the neighborhood."
170,"I love the staff and both the New Horizons stores equally! And now, online ordering with parking lot pick up….. doesn’t get much better. We are so grateful and fortunate to have these folks in our community. Awesome selections, great sales, and superior customer service. Woo-hoo! T Ladd Pittsboro, NC"
171,"Way more than you might expect to find. This is a fabulous gift shop and women’s clothing store in downtown Pittsboro. I always find something I like here: funny oven mitts, dish towels, and socks, candles, wind chimes, jewelry, soaps, skin care, baby items, high end shoes and bags, and beautiful unique clothing. The staff is truly helpful and they don’t hover. Awesome sales too - like 40-50% off shoes. I challenge you to choose a gift and card for a friend’s birthday and NOT buy something for yourself too. LOL!"
172,"I have always had such a great experience at both New Horizons Downtown and New Horizons West. They have very unique gifts, shoes, clothes, camping gear and accessories at both stores. The employees are very friendly and helpful to everyone. I highly recommend that you check out these stores."
173,"Everytime I say to someone, ""you must go to New Horizons,"" they are thrilled to have visited the stores. It was one of three local businesses that I chose to support by buying a gift certificate at the beginning at the pandemic.  Wonderful staff, great merchandise, all around wonderful!"
174,"I love these shoes; however, I wear them out quickly and this style has been discontinued. I was pleased to have found a pair online at New Horizons for a low price. They arrived quickly and should give me another 6 months of happy feet on my daily walks! Thanks."
175,"Unlike other platforms, it is quite comfy, and the designs are distinctive. I have no concerns and am satisfied with the services provided.It's simple to place an order, and the merchandise arrives quickly."
176,This is a great shop. Everyone is always very helpful but not overbearing. I am always impressed by the the shoe selection. It seems they have a better selection than some shoe stores. The clothes sre great also with a great selection of not run of the mill merchandise..
177,Awesome service!!!Love what I ordered and although I had an issue with shipping. Liz was awesome at comunicating with me in tracking down my package and i finally received within a couple days of the mix up. I will definitely be doing business with New Horizon again!!!
178,"I love New Horizons, both stores!  I do a lot of Xmas gift shopping at the Downtown location.  And sometimes I splurge on something for myself from New Horizons West.  Staff at both stores are always helpful.  And the things they stock are so cool and interesting!"
179,"These guys are the absolute best. When we were planning a major trip to the Himalayas, they helped us stock up on lots of the things we needed, and ordered stuff they didn't have. I love them. Also they carry great shoes at the downtown spot."
180,"Love New Horizons!! I go there for my shoes, clothing, cards, camping and small gifts.  I’m native to Pittsboro but drive back from Durham to my shopping there.  They have all the best shoes for support which I need and looks.   The service and advice from their staff are great!! I call the New Horizons West my local REI for camping and outdoors wear.  The New Horizons downtown is my favorite for that special novelty gift and cards galore.  If you haven’t stopped by one of these stores, it is a must on Pittsboro and worth your drive!  Oh and yes they have awesome gift wrapped bags for those special presents. My favorite is the butterfly 🦋 paper."
181,"I can’t tell you how many compliments I have received from wearing all the jewelry I have invested in from this company. It truly is so magnetic to look at and people ask me all the time where I got my chains from. 10/10 recommend. I will be back for the rest. Also shoutout to Nelle, thank you for your superb customer service you made everything super easy. 👍"
182,"Every product I’ve ordered from JAXXON has been perfect! The 14K gold material looks stunning and has lasted almost two year so far! I’ve had a great experience with their customer service, and I recently talked to Ray, who helped me find what I needed!! I absolutely love this company and I hope one day they have a better variety of women’s jewelry."
183,"Their response time to getting back to you was far more impressive than I’ve seen from any other company. No lie. I received a 15% discount to use, however the expiration date to use the discount had passed. I figured I would reach out and see if they would honor the 15% for me. Not thinking I would get a reply anytime soon, I ended up getting a response in less than 10 min, with the discount being honored. Because of that quick response, and the discount (lol), I went and bought 2 silver chains. Very impressed! Thank you!"
184,"I had made a mistake while ordering my husbands gift for our wedding anniversary. I miss spelled my email and i noticed that i never received a receipt or a confirmation number. I emailed the company and expressed my concern and gave them my name, number, and my real email with no mistakes. Erly K was fantastic and sent me an email letting me know they are looking into it. Not long after i received another email with my receipt number and tracking for the necklace along with the estimated arrival date. Erly offered even more assistance if needed. I am truly impressed and appreciative of the communication."
185,"My order was placed on September the 22, 2022. For a double rope chain stack for $230.00. The order seemed to be lost. I wasnt sure what happened to it, there seemed to be a mishap with either the shipping department or with FedEx. So i called customer support and spoke with Erly and she was very helpful. Sending me an email letting me know another shipment would be sent out for me. Thank you"
186,The return process could have been much better. The whole thing total took about 3 months in order for me to get my jewelry returned. On top of everything I had to pay extra $40 to get the jewelry I ordered back because the Black Chain Set that comes with both the bracelet and chain was not available. So I was forced to pay extra money to buy something that I ALREADY OWNED.
187,"I purchased the franco chain and cuban chain silver bundle, and while it arrived promptly and in good packaged, the cuban link chain arrived with some of its links twisted. they are very hard to untwist, and will revert itself to its twisted state when wearing. this happens multiple times a day and is quite annoying. if this was not an issue I would write 5 stars, however I simply can't when such an expensive item is in this condition upon arrival"
188,"The chain at first glance and my first few times wearing it was good, the chain felt nice. After wearing it for maybe a week or so I noticed the Cuban Links would constantly get ""locked up"" or there would be like a kink in the links as if the links were too loosely put together/there was just maybe too much space for the links to to move too freely. I've had quite a few Cuban links and if I have had experienced what's been happening with my Jaxxon chain, it was a middle of the mall fake type $50 tag.I was really excited to get this Jaxxon Cuban but its almost become too annoying to wear having to fix the chain kinking up all the time."
189,Great instant customer service with  online chat. Marie is indeed a rock star. So refreshing to get answers and solutions immediately.I’m waiting to see the chain I bought for my son in law’s birthday and his reaction to a bracelet. The products are awesome and prices accesible. Love Jaxxon’s for my three sons in law!
190,"I recently placed an order on Jaxxon. Unfortunately, the address information was submitted incorrectly. Fortunately, after emailing them, I received a prompt reply back confirming the correct address information from Carla at Jaxxon. This is quality customer service."
191,"I had a good experience with ordering and receiving my necklace.It was thinner and more narrow width than I expected but looks good.It would be nice if you would offer a size drawing of each necklace so I can determine what mm I would like.Thank you, Robert Eckler"
192,"Ordered a 2mm 22 inch solid gold Rope Chain, fast forward two days UPS 2 day airmail gets here. I open the package, and the chain is missing from the package. I also found a bottlecap from what I suspect is a warehouse worker. My problem has yet to be solved, so I'm out $721 and support has stopped responding to me. THIS IS NOT A GOOD JEWELRY COMPANY, PLEASE ORDER ELSEWHERE"
193,I bought a gold link bracelet but it was too small for my wrist. Within 1/2 hour of my request for a store credit RAY took care of it and even sent a prepaid return label. He was understanding and immediately arranged  for the return. Good On Ya!
194,Smoothest transaction you could ask for. Product delivered quickly and just as I had expected. Didn’t have any dealing with customer service on this transaction but my dealings in the past have been pleasant and very professional and efficient.
195,"Loved my products and when I had a problem with one, Ray was incredibly responsive in helping me solve the problem!  Great jewelry, great quality and even better customer service! This combination is what makes people lifetime customers!"
196,"Mel definitely has superb customer service skills. Although my visit today was merely about enquiring about the availability of an item, I feel as if I left with some gold anyway 🤣. Thanks Mel."
197,Order the Cuban chain on September 23rd said it was delivered on the 30th it was not the case had to wait another 3 days and turns out the product is amazing can’t wait to give it to my son for his birthday. Tiara was great too btw!
198,Really amazing customer service. Joanne did everything to make sure I was 120% happy with everything. It makes me proud to wear an item where the company stands behind its product. I will definitely recommend Jaxxon to others.
199,"Want to start out by saying that from someone who has a decent amount of experience and knowledge regarding websites and the proper layouts etc you guys have created a great experience from that alone. Everything is easily found, any questions are always answered on an amazing time basis and your jewelry looks fantastic. I have bought two chains for my lady that she wanted for Christmas and I thoroughly looked them over and was not disappointed in the slightest. I will definitely be purchasing more in the future for her and myself as well. Keep up the amazing work!"
200,Honestly where do I even start! Super special shout out to Marie who assisted me at 4am honestly I thought I was going to have to submit an email question but nope she was quick to reply to the chat box super cool btw! Not only that but her product knowledge was outstanding she walked me through sizing for a proper chain stack and as a fluffy sized male these things matter because at least for my body type the 26inch sits like a 22inch she was super cool and understanding of my needs and what I had in mind. Super pleased she helped me out with everything. Thank you Marie!!!
201,"As true to their word, My first shirt was off just a little in measurements for my body, The tailor store made recommendations and are in the process of making me a new shirt. Can beat it, if the new shirt fits as I expect I will replace my entire wardrobe oof dress shirts."
202,"Wow, what amazing customer service.The quality of the shirt was amazing I ordered but was a tad tight, I followed their instructions and they immediately re credited me and amended my profile to enable me to reorder the right size.The shirt originally delivered was then gifted to me to donate to charity.Looking for to my amended shirt.Can’t rate highly enough"
203,"Ordered my first shirt, fit was slightly off in a couple of spots.  The Tailor Store and Kivindri specifically responded immediately and had me send photos so they could make adjustments and send me a new shirt.  Great service, great quality clothing and super convenient.   Looking forward to ordering more."
204,"The customer service is FABULOUS! I ordered a shirt, it didn't quite fit in the shoulders and biceps...they responded immediately! They made the adjustments and shipped a new shirt to me, which made me REALLY feel like the custom shirt experience was/is worth it. BRAVO, Tailor Store! You are getting it right."
205,"Phenomenal customer service! Nothing but crystal clear communication from this company. The shirt I ordered was very high quality, but I was a bit unhappy with my fabric choice and I must've taken some wrong measurements. These were my mistakes, but they went above and beyond to make it right. I would highly recommend this company to anyone."
206,"I had a brilliant experience with TailorStore. They only sent out one shirt from my order as a test. The fit was nearly perfect but needed some slight tweaks. They re-made the shirt for free changing some of the dimensions based on photos of me wearing the first shirt. Joacim, my contact was very helpful. This shirt fitted perfectly! The quality of the shirts is outstanding. I've just received the rest of my order and they are beautiful. The split yoke on the back of the checked shirt has been book-matched. I love details like that. I will recommend this service to my friends without hesitation, thank you!"
207,"Having dealt with previous supplier of made to measure shirts and been disappointed, I wasn't sure how this order would go. However it could not have been better. Excellent service together with a great product. Would anyone looking for a new shirt or shirts to try them. You won't be disappointed!"
208,"Love the quality of what I have gotten to this point and the service had been great. Would recommend for anyone wanting a great shirt, but especially for anyone with out of the norm measurements. They've gone out of their way to make it right."
209,"Fantastic customer service, great products, the t shirt I ordered looks great and I can’t wait to order more."
210,"I got measured on two different occasion and was told you are never finding a shirt that fits you nicely in a store (they were right). I was tired of just settling for shirts that didn't look good on me. I googled customer dress shirts and started using the site. It was so easy to take the measurements they needed, and when I tried on the first shirt I was amazed at how good a shirt can feel when it is made literally FOR YOU. I will be ordering more shirts from them."
211,"Used the iPhone photo measurements, shirt came and was perfect aside from slightly too much material around the arms and too long. I contacted Joacim at customer service and had a new shirt ordered (free of charge) within an hour. It has since arrived and it fits pefectly and is excellent quality. Couldn't recommend Tailor Store enough."
212,"Tailor store proactively let me know, because it's my first order of two shirts, they will make one first to ensure it fits, as it turns out it was a little large. I was asked for picutres, they made the adjustment and send me the shirt and it did fit perfectly the second time. Only then they made the second shirt after I confirmed. Needless to say they have gained my trust and confidence to order again in future"
213,"Wow!! I am extremely impressed with the service received from Tailor Store.... My dress shirt was made exactly as ordered, fits beautifully and looks so good! Delivery was fast and efficient, without any delays at all. Top quality all round, HIGHLY RECOMMENDED!"
214,"First order was too big, but they replaced it for free. The second order fit perfectly."
215,Excellent customer service. They’ll make sure your shirt is perfect. Fast delivery too.
216,"I have an athletic build and local men's clothing stores and their tailors usually have a hard time fitting me with off-the-rack clothing. After being disappointed with my last attempt at finding clothes for work, I started looking into online made-to-measure services.  Tailor Store was the only service/website with good reviews that also had a measurement system that made sense. The 1st few times the fit of the clothes was close but not quite right but customer service came through and made everything right. Communication with customer service was excellent and once the adjustments to the measurements were made, the fit of the clothes was perfect. Over the past few months, I have ordered 15 dress shirts, 2 jackets, 3 suits and a few pairs of pants.  All arrived quick and were packed well. The craftsmanship of the clothing and fabric quality are awesome."
217,"Site was easy to use and a good selection of fabric to choose from, I ordered one just to make sure I would like it, ten minutes after I opened it I ordered four more. These shirts are absolutely amazing."
218,"They're amazing,  but , but , It'll be nice to give clients space to adjust measurements , or to add comments with the order , probably more fabric variations would help , Good luck"
219,Everything was great! I was able to get a test shirt to ensure everything fit just right. It did and the other shirts followed in a timely fashion.
220,"Tailor Store has incredible customer service and their goods deliver. I first ordered only one shirt to ensure I liked the fit. It was immediately the best fitting shirt I own except that it was extraordinarily long. I contacted tailor store to see if they could adjust my profile to fix this issue for future orders and they not only corrected the issue for future orders, but sent me a brand new shirt with the corrected measurements free of charge. I’ve since ordered several more. Highly recommend!"
221,"This was my first time ordering.  The items I ordered were mostly as expected, however there was a mixup in color/size/product of one shipment.  I contacted customer service and Charlie immediately helped process my return.  Despite a little hiccup, I would definitely order again. Charlie made the experience seamless and I very much appreciated the assistance and follow up."
222,I have to say Charlie cox over at wordans was an absolute pleasure! Although there was an issue with my order he responded to my email immediately with a phone call and an email. He made sure the situation was Resolved and that I was happy with the outcome. Because of Charlie wordans now has a life long customer!!
223,"After receiving an item that was the wrong size, Anna was extremely prompt in getting back to me about the mix up. Her customer service was top notch and it makes me feel confident that I am ordering from a fantastic company."
224,"I found this site when searching for a specific apparel item, since then they have been my go to for all my apparel needs. I receive great help from Adiel! I highly recommend this company. Shipping is quick too!"
225,"Upon receiving my order, I had a damaged item and Anna was quick to assess the issue and send a replacement right away. Thank you Anna for all the help and your great customer service. I will be ordering from you guys again and wish you a great day !"
226,"I have made multiple purchases on Wordans.com and they are always fast and easy, also the customer support team is very helpful, I had some trouble tracking my order and Adiel from the support team provided me with excellent aid."
227,"Adiel was very helpful when I asked about stock and sizes.  He was very friendly and prompt, and even updated the website to reflect current available stock!  I will be purchasing soon!"
228,Recently used Wordans for the first time to order some youth hoodies. One of the hoodies had some stitching issues. I sent an email in and customer service contacted me within the hour. Adiel was excellent and quickly assured me they would get a replacement item sent right out. Great customer service and quick response. I will for sure order again.
229,"I am very impressed with the ease and response of working with Wordans on our order that was just placed. When calling with questions regarding our new account (tax expempt), Adiel not only talked me through the easiest process to establish our status, but made sure that our account was ready immediately for me to place the order. Adiel also spoke with genuine interest in me as a client and his tone was friendly and professional, efficient and knowledgeable. It was probably the best customer service call I've had in a long while."
230,"There was a more than 1 month delay on my order, but with that said, they were communicative, helpful and professional and gave me the option to cancel. Would recommend :)"
231,"I needed hoodies quickly so I could add HTV vinyl for them! I am unsure how I found Wordans, but I have been thrilled with the speed. I also reached out to Adiel for support regarding questions for my order. They responded quickly and ensured me that my order would be here in time. I will absolutely use Wordans again for materials."
232,"I just want to say big thank you to Anna, who helped me with my lost package! I really appreciate such a great customer support!"
233,My experience was great with this company. I had Charlie C. help me through my issues with my account. By the time we were finished he had everything figured out and had processed my refund on the spot. Charlie was extremely helpful and pleasant to deal with. Thank you Charlie for all of your help.
234,Had an issue regarding missing/shorted items but Charlie sorted it out and was a great help. Communication is everything to me and Charlie was on top of it and friendly friendly and helpful.Thanks again Charlie for all your help!
235,Customer service has been fantastic. Simona N received my call when I had an issue with the shipment I received. She immediately took measures to resolve the issue and I received an email from her within 15 minutes of our phone confirmation. Her resolution was fast and much appreciated. I will definitely be ordering more in the future.
236,When I received my shipment I was missing 5 shirts. I called and talked to Charlie Cox and he was so much help. He took care of the problem while we were on the phone. This is the second time I have had to call Wordans regarding an order and both times they have been great to work with. Will continue using them for all my shirt orders.
237,"Adiel E was extremely helpful when I contacted the company concerning my order.  Not only was he able to execute on my needs, he couldn't have been a nicer person.  Thank you!"
238,"I cannot recommend Wordans enough. I had a small issue with an order and Anna was wonderful. She was pleasant, kind, listened, and most importantly resolved my issue is a time efficient manner."
239,"Ordered hats from this company, I hadn’t received an order number or confirmation, so I reached out to customer service and asked what was going on and Charlie assured me that they did send one out and it had gone to my old email address that was linked to my Amazon account and I was able to find the email and confirm that I had received it previously, and he re sent me the email just to make sure i did receive it. Charlie was super helpful and made it a pleasant experience, made sure everything was taken care of and was extremely helpful."
240,I had an issue with my account and Anna was absolutely amazing and corrected the problem right away.  She was very professional and handled the conversation like a pro. She has got to be a huge asset to your company! Thank you Anna for a job well done. I wish all the phone calls I have to make during the day were as pleasant as Anna's call.  It was a pleasure doing business with you!For some reason I can not leave a review for anyone else so I will leave it on this one.Charlie also helped me and I have to say He was more than professional and extremely helpful. He set up my account so fast which in turn helped me to get back to my customer just as fast! Thank you Charlie! You are also an asset to this company!Both Charlie and Anna deserve raises! They are very good at their job and definitely should be recognized!
241,"I Love Tag clothing for going on Safari! Cotton is King when you are trying to be stealthy during a stalk. I wish you had better inventory in the US, I would order more close 😉Only quality feedback... in a couple of the shirts I got last year at DSC, the threads for the buttons are coming loose prematurely. Not a big deal. Still love you guys! Keep Zimbabwe working!"
242,"Speedy service, great updates and high quality product!  Already placed my second order, after receiving the first. Excellent experience!"
243,"I loved everything included in the services, service offers Tag Safari.. Goods that meet the requirements in terms of quality for the necessary purposes, especially travel. My advice, love to travel then you will be happy here, and your vacation will be successful and comfortable."
244,Great product Closest to a “real” issued tropical jacket I have seen that isn’t surplus Well made and fits - this is a warm weather jacket so don’t try and wear a heavy sweater underneath The rolled sleeve button tabs are just rightGlad to buy a great product and help other companies
245,My shirt is in the best qualityLove my Shirt which I will be using it as a uniform for the ROVERING 4 LIFE ASSOCIATION once I get approved
246,"The pants are great, very comfortable and light weight.  The only inseam offering was 32 "". I bought them thinking they would be long  they are and I'm having them shortened.  that is my issue to solve.  I do think the waist band could be a little more sturdy and the belt loops about 1/4"" wider.  That said these are great pants for warm weather outdoors activities.  In my case dog training and fly fishing."
247,"Excellent products, fit is to correct size, very lightweight and so good I re-ordered almost immediately! I like the fact they use 100 percent cotton. Roy"
248,top quality at reasonable prices. I wanted to make an exchange and the rep was so helpful. I am a customer for life
249,"There is much to like about TAG Safari bush jackets(safari jackets),for example the lightweight 100 % cotton.The jackets are ideally worn over a T-shirt.TAG Safari jackets are made in Zim(Zimbabwe);they are the real deal.TAG Safari believes in (: ""Trade not Aid."" .It doesn't get any better than that!"
250,"Tag Safari shorts are attractive, hold up well and are very comfortable.  They are ideal for hot summer weather.  The pockets are functional which makes them practical as well."
251,"The three khaki safari shirts and the two pairs of khaki safari pants I purchased from TAG Safari arrived at my home very quickly, fit nicely, and were of excellent quality. Good value for the dollars spent. I anticipate wearing them on a South Africa photography safari in a few weeks."
252,Absolutely awesome service - when they didn't have a pair of pants I wanted someone called me within minutes of placing my order to ask if I wanted a credit or if they could help me find another pair of pants similar to what I attempted to order.  Thank you so much.....
253,This is my second piece of clothing from Tag Safari and it is as impeccably well made as the first. I will continue to be a Tag Safari customer for many years to come.
254,"I really appreciated your speedy service. It was nice that you were able to make the belt I wanted, due to you not have one on hand in my size, and was surprised at the fact my order was delivered in a few days, and the crock belt looks great.Keep up the great work.Carl"
255,"The shorts, in the correct size are received.I do, though, wish you'd correct my e-mail address.  Yours are found in junk mail.  PLEASE use L3 (NOT l3) for my prefix.  I've requested this several times in the past, with no correction."
256,"Excellent customer service.  Quality & fit of clothing is perfect.  Purchased 2 l/s Trail shirts, 3XL.  Fit true to size and very comfortable."
257,"For the purposes at interest, goods that meet the necessary quality requirements Great products and prompt service/delivery . Products are of excellent quality, reasonably priced, and arrive on time."
258,The service is outstanding and the clothing is wonderful. You can trust these people!
259,"Dear TAG SafariI was expecting to have a “Door to Door» service with UPS and I paid for it. The item arrived to Greece and delivered to the public postal services and NOT TO A COURIER!Consequently,because of,I have to pay 45 USD more in taxes,I have to go to search for it to an office somewhere in Athens but I have an arthritis problem and I cannot move easily and moreover I do not want to go to closed public entities due to Covid pandemic!This creates me a lot of anxiety to find somebody to provide him a legal approval to take the parcel on my behalf. This should not happen. You should make your transactions convenient for your clients. I am not going to place an order again !"
260,My shooting/hunting shirt came thru very fast. I allready have 3 tag safari shirts beside this one. The quality stitching is very good and the fit is good.Great clothes for the hunt. I will be ordering more items from Tag.
261,Very few things I ordered I actually got. I got less than half my order and the rest refunded. Not a very good inventory system. Very disappointed.Chris
262,The company was very quick at getting my order out. The jacket is a Christmas gift so I can't give a review on the jacket yet. I was very happy with how the company took care of my order.
263,"First time buyer from Logan's and it is GREAT!  Very cool, different selections across many categories.  I'll definitely be back.  Good pricing, great communication, fast delivery!"
264,Logan's is easily my favorite men's clothing store in Lexington. Top notch customer service and an amazing selection of clothes.
265,Excellent customer service! Excellent shipping and delivery in a timely manner. 2nd time I've ordered from L.O.L and I've been pleased both times. I will order again.
266,"Great product, delivered faster than advertised, quality craftsmanship just as it appeared in the advertisement. Will do business with this company again."
267,"Ordered it, got it, love it!!!"
268,"Been looking for Big Ten hat for years. Thanks for your offering. If you have Big Ten hates with just IU inscribed, please post ThanksRandy"
269,I love your selection of so many items. From hats to suits. Every time I am in Lexington I stop by. Thanks
270,The service was excellent.  I appreciated the email updates for the tracking of the package.
271,"I placed Order #23067 on 4/27/2022 and never received. I have written, called and NO RESPONSE. What the heck man.Adele Greenebaum"
272,Thank you so much!  Love the UK shirt and I know my son-in-law will also!  Arrived in perfect condition!  Thank you for your continued service and style.
273,Amazing quick service and I have to make a comment that I loved the packaging on the inside :) The extra touch with the tissue paper made it special!
274,"I bought  a SEC conference hat. Great to deal with, fast shipping and great communication. Highly recommend !!!!!!"
275,Exactly what I ordered and delivered faster than I thought it would. Definitely a great choice to put a smile on a hard working man's face.
276,I sent you guys an email about my order and how I could not apply my 20% discount and haven't heard anything from y'all.
277,Logan's of Lexington went above and beyond.  I ordered the wrong size and they were able to get me the correct size in time for the Holidays!
278,I had a bit of trouble ordering a gift certificate on line. Mead a quick call and they helped me right away. They were a pleasure to deal with.
279,Impressive quality product and great shipping and delivery followup I have not experienced with product shipping before 10/10!
280,"The packaging, communication and the product itself, was fantastic. Thank you! My husband is going to love it!"
281,"HOLY MOLY! I'M IMPRESSED, I bought the suit and had my feelings about the website thinking it was a fake website with fake reviews but NOPE! My suit came in and it was BEAUTIFUL! I mean it fit good and all! Will definitely buy another👍"
282,"I have been buying from Suit Outlet for more than 5 years.  Most of my wardrobe was purchased here. I have been as heavy as 386 lbs and always found quality and comfortable suits.  I am really happy because I have lost over 100 lbs and find more selections available.  As a plus size it's hard to find fashionable clothing that don't make you look like wearing a tent.  Again, I always found quality and look good!"
283,I have always worn suits. My boys are suit wearing young men. With the cost of everything rising I have been looking for good quality suits at a reasonable price. I ordered 3 for myself first. All fit great and look even better. I just ordered my boys at least 2 suits each. The sizing was off on one of my sons as he is a slim Jim. Exchange was no problem. Thanks so much for your care of we the customer. I will be back and I have told others about Suit Outlet.com
284,"always on time, great quality!!"
285,This brand was so amazing for me I'm very satisfied with their quality. I would definitely use them again!
286,I have been buying suits from Suits Outlets and I like the quality of the suits that I have purchased and looking forward to purchase more real soon..
287,"To Suit Outlet,Your response time was excellent. You were able to resolve my issue within a timely Manner. I truly appreciate being a customer.I have already placed a new order and I anticipate making many more purchases.Thank you,Donald K."
288,I was happy with my product very easy to order and the price was a plus! Shipping surprised me how fast I  received my suit! Thank you so much I will definitely buy from you again
289,"This is my third purchase from Suits Outlets, I have been very please with their custom service and suits I have purchase. Good quality and style at reasonable prices.  Good Job Suits Outlets, you have my business!"
290,"very quick service on line , also i called to get some sizes clearance and i was very satisfyed too."
291,I am always very satisfied with my product and service with suits outlets the product is always represented accurately and honestly what you see is what you get and you get what you pay for and I am and always will be very pleased and satisfied with my product and with the service from suits outlets
292,"I have been waiting for this suit for over 6 months, & once it came back in stock, I was notified right away. That is great customer service."
293,"So far so great! Mr Jim has been most helpful when ordering & making an even exchange for my husband's suits. I ordered 3 thus far. The suits are very stylish, yet very reasonably priced. My husband wears his suits a lot. I just ordered him one for his up & coming birthday. Hoping he loves the color as much as the style.😊but do much thanks to Mr. Jim, gir his welcoming & helping spirit made my return for purchase more highly likely. Thank you Mr. Jim"
294,"The initial transaction was wonderful. However, I had to return because I ordered the wrong size. Subsequent transactions were not as good. Turn around and shipping the second time was slow. In addition, I placed an order for a second suit. Response and shipping time for the second suit was also slow. Suits, however, are great!"
295,I would have given five stars but several suits I wanted were not in stock and I was unable to submit my email to be contacted when the suits would be back in stock. This will be my go-to for suits in the future and I highly recommend you give them a try. I'm confident you will not be disappointed.
296,"Everything was very easy going in placing my order but there's is one of concern. When I wanted make a correction on my order I was unable to through your(Chat or call your1888-909-0748). So I would appreciate if you all would correct my address correction. The Correct address is 236 Oglethorpe street, Northeast, Washington, D.C. NOT NORTHWEST."
297,"Ordered two walking suit, package arrived today with invoice for the two sets but only one set uin package.  Called number on the email I had received when order was placed.  Call went to voice mail, I have made several orders from this site without problem but now that this has happened I am upset and is hoping this is an error which will be corrected."
298,"The fit, finish and Affordability of this suit is amazing, I couldn’t believe it was real. I’m  ecstatic about the results of my  purchase. Not only will I recommend Suits Outlets Club to my friends and family, I’ve gone back to order more of their  apparel, thanks guys, it’s what I’ve been looking for, great clothes at a fair price."
299,"A beautiful suit, however it doesn't fit despite is having the same dimensions as clothes I wear everyday. This company's measurements are a bit skewed, so you need to order a suit larger than your measurements."
300,"Cannot objectively make a decision as I was trying to order from Bachrach and am not sure if this is the right place or not.  I will be happy to make a review once items are received.  Loved the accessibility of the site, very nice.  Thanks for the opportunity to use."
301,"UPDATE: Shuuk contacted me directly after my feedback, they were very helpful and responsive.  I appreciated their help.  Also, their returns and refund process was very fast and easy. PREVIOUS: I am a first time customer. After I placed my order, I got a post-purchase offer for an extra 12% off the shoulder bag from my order. I thought it was a discount in addition to the item already in my order, but it added a SECOND bag to the order as a separate purchase. It’s a bad and confusing user experience for the website to offer a post-purchase item at a discount for the exact same item that was already part of my order.  I did not want to have my credit card charged for both items, when I thought I was just ordering one."
302,"All my expectations were met. Fast delivery, quality products, and great customer service. Will definitely order from Shuuk again."
303,"This was my first order and did have something mis-ship.  Although they were slow to respond from my initial email request for help, four days later they fixed it quickly and all I had to do was drop it off at a FedEx store for an instant credit.  My replacement was at my house within three days and gorgeous.  All the items were so cute.  I already have another cart going."
304,I ordered two casual blouses.  Both  were nice and fit perfectly.  I received my order  in a timely  fashion.
305,"I'm from Uruguay and live in the United States; I learned about Shuuk through emails from the Uruguay Consulate.I decided to give Shuuk a shot, and I'm really impressed with the high quality of their clothing, products, services, and shipping.Two products were sold out, and my credit card was immediately refunded.FedEx delivered my order two days later.You've got a lifetime customer here.Thank you so much!!!"
306,I have a great time with customer service I will keep you as a great value.
307,The crossbody I ordered on here is cute! Such a perfect size and style for any type of event :)
308,"I bought 2 dresses. 1 I love and it is just what I was looking for. The other is such a strange material, like a cross between a swimsuit material and polyester. The print is less appealing on that fabric and all of the stitching is visible."
309,"I have never ordered from this company before, but there was a shirt I was very interested in, so I purchased it. The item was received promptly and I was very pleased that it was exactly what I saw in the picture and read in the description I am very pleased with my purchase and will consider ordering again from Shuuk."
