,0
204,I order à pair if shoes from them and I receive a tracking number who doesn’t work when I try to see update of where my shoes are so I have no idea if I’m gonna receive them very unprofessional from them that I cannot see if my item was shipped I don’t even know if I’m gonna receive them it’s Bein 2 weeks since I haven’t got knew my order number is 423721570
205,Ordered a pair of size 15 us men’s tiempos and I paid 40 dollar’s delivery ordered on the 22 nd of July and haven’t got a single update It was supposed to be delivered late august been waiting a month and halfI’ve also emailed twice and haven’t got a response Any answers ?
206,I have a question about my order. I placed an order for 3 jerseys on the 29th of July. It has said it's been processing since then and I would just like to know the state of the order. I emailed customer service however I have yet to receive a response. I would like to know if everything is okay.Order Number: 423163318
207,I had to return 2 ítems of an order I placed. The process was simple but a bit harsh at the begining. The other ítems on my order (all football Shirts) were fines.
208,Absolute garbage material. I ordered 3 Barcelona jerseys and sweaters. And it’s the cheapest quality material and the Barcelona logo is a sticker. Garbage.
209,"After reading some reviews I was skeptical about ordering from the website. I still went ahead and order a chivas authentic shirt, the shipping was very fast i was supposed to receive it on Dec 22 but actually arrived on Dec 16 which is amazing the item was just as described I definitely recommend this site and will continue to order from here"
210,Buyer BewareDo not use this company they are scammers and operate in a fraudulent manner.  Action has been taken against this company and they will be handled accordingly so they are held accountable and are not able to defraud any more innocent customers.All of their responses are generic and hold no value.  Worst experience in all my online shopping experience.  If you value your money that you work hard for - DO NOT use this company.
211,"I ordered soccer boots in July. Sent them back because I decided to buy locally, I STILL have not received my refund and it has been 5-6 months.. I have called the company on numerous occasions and they change their answers everytime. Some of the employees are nice and its not their fault but in general the customer service is atrocious."
212,"I order a Arsenal Goalkeeper (XL 2019/20) top back in December 2020 as a present, It took weeks to arrive and the quality of the shirt was POOR. I used the website information to return the product as the confirmation email gave very limited information on exchanges and returns. It explained that I should post write the address on the parcel and write the reason for return in the parcel. How do I go around a refund which I still haven't received? Order number #56683"
213,I ordered a customized jersey more than a week ago and they refuse to tell me anything other than it's being customized still even though they told me it should ship out 2 days ago! I called customer service and they won't give me an estimate on when it will ship! Don't order from this place unless you feel like waiting an extra month just to get your product! I have orders from here before and had no problems but it's not worth it anymore! My order number is 421005916.
214,"Paid over $100 for a Tottenham jersey. Beyond the order confirmation email I never heard from them again. I never got the jersey. I emailed customer service, they never got back to me. I called customer service several times, they never pick up, you just get put on hold for hours. It seems like a scam, don't buy anything from them."
215,"I ordered a France 2018 jersey. It is unquestionably counterfeit, with its iron-on patch. Ordered a genuine one off eBay, and laid side-by-side all the differences between real and fake are super obvious. The company doesn’t answer their phone or respond to email. I’ve reported them to Nike and my credit card company."
216,"Ordered multiple items that were on sale and looked very good for the brand I chose. Unfortunately all Nike and adidas items were cheap quality and worth nothing for the money I paid. To make my experience worse, I shipped items internationally and paid almost 80 Dollars more. Almost cost me $300 for no value at all. I am very disappointed with my experience with your service. Order no. 418095981."
217,I placed an order on November 27th for a Christmas gift. The shipping label shows it was created on 12/3 and has not had an activity since. I've contact support in regards to the status and was told not to worry. Guess it WON'T be here for our sons present on Christmas morning! Wouldn't recommend as their shipping is slow and their customer service is lack luster!!My order number is 418123759
218,I believe Mr. David F must not like me or racist since I’m the only one he didn’t bother to reply on my review on this site! Once again I ordered a Chicago Fire jersey and received a Chicago fire jersey that’s not even on their website!! Called and customer service sounded just lost when I spoke to them. I sent back their jersey and to this date no refund or Jersey has been sent to me!!! Please stay away from this site!!!! BIG SCAM
219,"I ordered a football top on the 17th November, it finally arrived today. I had been worried as it just seemed too long to wait. I also began to read reviews and had wished I hadn’t ordered from them. However, the quality of the LUFC top is good and I’m happy with my purchase. The company answered all my emails, think I sent five in all. Goods coming into the country will only get worse with Brexit, so maybe this is the new norm!"
220,"Dodgy inauthentic shirt I ordered and paid for shirt on 13th November after several emails I received shirt on 7th December.  The shirt was a knock off & not an authentic shirt ,the sizing ,material , letters  & no man utd authenticity sticker on the  label. I contacted the company with my concerns & was asked to send it back which I did on recorded delivery on the 8th December. I am still waiting for my refund & have sent several emails."
221,"I ordered a Raul Jimenez Mexico soccer jersey on November 24 and it still hasn’t came in, and it’s a Christmas gift for someone. It says it arrived at the usps facility, it’s been like that since December 11. I’ve ordered stuff recently from other places that’s going to be on time for Christmas. I’m just very irritated since I’ve been waiting almost a whole month for the jersey that isn’t even close to arriving on time for Christmas. Order# 418085260"
222,"Ordered a pair of shoes, then saw the delivery date, it was too long to wait so I canceled within an hour of ordering through email and they said it’s already left even though the delivery date isn’t for 6 weeks.  They try to keep your money. Meesha  the customer rep blatantly lied. Avoid at all costs. Not worth it. So disappointed"
223,"My delivery was right on time, excellent quality, prompt customer service, would definitely buy here again, glad i didn't get carried away by the bad reviews!"
224,"Ordered a football shirt 3 weeks ago and still not arrived. I have sent an email and no response and tried to call but can't get through.I have only received an original email confirming purchase, heard nothing else.I am now beginning to doubt this store and they have taken my money.Order number was 27694Just found this at bottom of order confirmationThanks for using worldfootballshop.co.uk!"
225,Ignores me and my girlfriend for days.Placed an order last week of November still haven’t received it.No email to confirm it’s despatched or anything and just reply with the same message about it being despatched when it has not.This is meant to be a Christmas present by reading other reviews they’ve messed them up too.Limited responses on live chat if they respond that is and if you call them they just keep you on hold! £70 down the drain and a ruined Christmas
226,I’ve placed an order paying the extra $30 shipping to have it expedited and 14 days later I still do not have my order and have no idea where it is.  The address on the site is Oregon but this company is out of China. items are shipped from China.  If I had known that I would never have ordered knowing I wouldn’t get them in time.  I can probably kiss that $200 good bye.  Never order from this company!!
227,"Sent back a Liverpool shirt, due to this being a gift but I had the wrong size. They are claiming ignorance and refusing to give me a refund. So £60 odd pound down the drain. I’ve been told they do this from someone who had a similar issue just didn’t believe it to be true. If you buy from this company ensure you have the right size first. After making a couple of complaints I’ve now finally got through to someone who was willing to help and I’ve now been given my refund"
228,Order number : 417337600 when I first placed the order you guys took $261.10 from my account to hold to place on my card to verify that sufficients funds are available to cover the order total. But it says that it was supposed to be dropped off within a few business days rendering the balance available again. But it was never dropped back off into my account so i am still missing $261.10 from my account. Recently you took $261.10 dollars again when I already payed in the beginning.
229,"Placed order on August 16  (No. 420322787). After initial acknowledgement that items were in stock, the order was not placed. They don't respond to emails and you can't get through on toll free number. Very disappointed as I have ordered with them in the past with no issue"
230,"I ordered two rangers football tops on 14th Nov, I have sent 4 emails and still had no reply, I have been on live chat and was told they would be dispatched today 4th Dec and confirmation email and tracking no sent and surprise surprise no email!! Would certainly not recommend!! Customer service is appalling!"
231,"The reason i give this company is that the stars are actually for the reviewers as i was literally about to pay 170plus dollars on an Arsenal jersey and after hearing sooooo many reviews of counterfit, no customer service, no refunds, RETAIL CATFISHERS. So relieved i didnt buy."
232,"I ordered a pair of Puma Evodisc goalkeeper gloves.  I never got an order number, an email or anything.  I got my credit card statement and the charge was on there.   It said 2 days shipping and it’s been 14 and I still haven’t seen my gloves.  I called and was told my email and phone number weren’t in their system.  mothergoose0925@yahoo"
233,Absolutely horrible. I was forced to purchase with PayPal. So two weeks later I finally get a tracking number and it said it had already been delivered to my house about a week earlier so I called the post office for them to tell me that they sent it to a completely different address. Scammers scammers scammers
234,I ordered a top on 26/11/2020 for a Christmas present. It still has not come. When I emailed they had said oh it has been dispatched will be there by Friday which was two weeks ago!! Today is Christmas Eve so I definitely will not be receiving this top. I’m so disheartened and feel scammed!#55230
235,So I bought a 20/21 Bayern Munich CL jersey with the name and number set for Robert Lewandowski. The jersey was great 100% authentic but the name set and number weren’t the original front it was like some random printing that you would see on a Sunday league team jersey. I was kinda disappointed because I really liked the shirt now I don’t because it’s not correct. And now I can’t do anything about it because they have a policy that a custom shirt can’t be returned. Order number 417779833 if you can help in anyway.
236,"I Ordered a Chelsea jersey for my grandson for his birthday.  The World Soccer Shop price was over $100, but when I received the jersey the MSRP price tag was $75!!!  I tried contacting Customer Service via email about this price difference, and have received no response after 2 or 3 weeks."
237,I ordered a jersey that was too small and returned it for a bigger size. Meaning I had to rebuy it. I send the small one back and got the large one and I never got my Refund for the small one. I send 3 emails and it’s been 2 months. I spend over $400 and I have 1 Jersey not 2. Don’t bother with this place.
238,Stocked items and shipping time is not accurate.
239,Hello I ordered 2 jerseys back on the 27 November 2019 which I needed to give to my children for Christmas. My credit card has been made and paypal made a successful transaction. I have no tracking details from AUSPOST and its the 17th of December 2019 and I have no shipment details of when its going to arrive
240,"Made an order on 13/8, got order confirmation stating dispatch on 17/8 and arrival 23/8. Never heard from them sknce. Customer service hasn't responded to my emails in 3 days and phone line keeps you on hold for hours.Order 420289259This is my last order."
241,"Been using WSS for a long time. Always had a good experience.Prices were competitive, item shipped fast, and item safely arrived on time. I've used World Soccer Shop many times and have never been disappointed. And Always a great experience for shopping in this web. Fast shipping and awesome service !!!!!!"
242,I have been a customer of WSS for about 8 years now. I buy jerseys here and there when I find some that really appeal and this site offers the widest variety I have found anywhere. They are consistently great with communication and delivery and recent communication is what prompted this review. They communicated as soon as they knew that one of my items would be backordered and provided me with options. I also feel they are very transparent and will certainly go to them for all of my soccer jersey needs
243,Bought a couple of pairs of boots during the current sale and used the free global shipping code. Purchase went through without a hitch. A week later I hadn't heard anything and no movement on my order info so I e-mail them. They replied that the free global shipping can't be applied to my order (no idea why) and they will have to charge me $70 for it. Thats 50% of the order value so I cancelled and bought local. Please don't offer something that you cannot supply and waste my time.. Edit for reply - order No. 415105841
244,Ordered a shirt over a month ago and heard nothing until I chased them up regarding my order. Customer service response wasn't useful and when I tried to cancel my order they seemed to get their arses in gear and process my order so I could not cancel. Bunch of tight money grabbing b*******
245,"I ordered a custom jersey in mid-July and have received multiple shipping delay notices without any explanation. The jersey is currently scheduled for delivery almost two months after the order date. Given that I already paid (a ridiculously high sum) for this shirt, it is totally unacceptable that this company is not doing everything in its power to deliver it in a timely manner. Terrible experience!!Yes, thank you, David! There is no way to reply to your comment here, so I am editing my original post. Order #413894805"
246,"Seems like there has been a breakdown somewhere. Evidently few of us got our Christmas orders. When I ordered, both items showed “in stock.”  Site said order by dec 18 for Christmas delivery to Maryland. Nothing had even shipped by the 23rd. Thank God for Amazon where I found something I could use. Sent two emails with no response. Finally got a response when I canceled with no explanation. NEVER will order from here. I think they are in someone’s basement operating an outlet. Obviously no customer service and no accountability."
247,"I ordered a borussia dortmund away shirt on June 9th, my order number is #23698. I understand that with the virus shipping will be delayed but i haven’t received any information regarding the order. I would just like some reassurance on this and maybe a way to track my order, please."
248,"Order 59447. Still waiting for my order since beginning of Dec, grandchild’s football kit for Christmas. Can’t get through on the phone and no one is answering on the on-line chat. I’ve now checked reviews and people are being warned the kits are fake if they do turn up."
249,"Ordered some Liverpool 2020/21 away kits, all tracked and traced. Received them in a good amount of time (USA to NZ) an everything is 100% official (not fakes) & no complaints. There was a 1 week delay from the time I ordered them, to when I was officially charged and item sent out. Not sure on the reason for delay, but I suspect it’s a supply chain issue, so happy they only charged me once they knew the goods were on the way!Will definitely use the store again if I need to buy something again.I have written this review, because often people only post when the have something negative to say, but I was totally happy!"
250,"Worst online shopping experience i have ever had. Ordered a Jersey. Waited a week to have the money returned back to me with no explanation or follow up email. Just completely awful and rude costumer service, buy your jersey ANY where else."
251,I ordered a football kit for my grandson birthday Back in the beginning of June and I can’t believe I’ve still not received it his birthday next week and no kit can’t believe it’s taking so long I’ve messaged loads of times and they keep saying it be with you soon
252,"Website looks great, easy to navigate.Apology for the previous comment - there was a site that was skimming from searches for world soccer (world soccer net) and pretending to be your company.  They have been shut down thankfully...only lost $39.95 US ..best of luck"
253,Just received my FC Porto shirt after waiting for over 3 weeks very disappointed! Stitching poor on shirt and of inferior quality ! Clearly a fake and after spending £60 inc post and Packing I expected better. I certainly won’t be using this site again !
254,"Have shopped several times with them and am happy with their quality of products. Only issue I really have is that their shipping is generally pretty delayed or on backorder. Other than that, a good spot."
255,I have bought different items where shipping was supposed ti be free based on special offer FREE75 but I was surprised that I was charged for shipping? Order number 418095981. I hope you can help me to refund shipping charges. Many thanks. Jaber
256,To Canada in under 7 days even with FedEx carrying most of that wait time. Beautiful Jersey. Authentic as promised. It fits perfectly and I am pleased with the purchase. Will order again.
257,"i really like the website itself, very helpful and easy to search and buy the product I want. They have discounts whenever I go to the website. I bought a couple of jerseys and football boots. They took 3 weeks to get to my place, but it was worth the wait."
258,"I am sorry to hear that others have had issues in receiving their orders from WorldSoccerShop, but in my case, I had no issues. I ordered a Boca Juniors jersey on 21 April, and I received it on time before 24 April.  I was impressed at how efficient the delivery service was after having paid extra to have it delivered by FedEx.Regarding the quality of the Boca jersey - it's excellent! Kudos to WorldSoccerShop for selling jerseys from a wide range of clubs, including South American clubs. As well, I appreciated receiving an e-mail from WorldSoccershop with the tracking number. I definitely look forward to shopping in the future with WorldSoccerShop!"
259,Dont ever trade with this company. I made an order in June and the parcel never arrived. Several times I asked to tracking number but the company never answered. Finally after several attemps they informed the parcel was lost. I asked for a new delivery. But it did not arrive either. Not even my account in the website was updated and never got the tracking number. Since then I have asked for refunding but they do not answer my messages. I have tried to call customer service but they dont answer my calls. This is a cheating company and should be shut down. Ripped for oppotunities to trade and make business.
260,I ordered a Jersey to arrive in time for an important game and was surprised it was sent to an address I haven't lived at for months. I move a lot for work. Apparently the website took information from my Billing address and used it as my shipping address. I know I sent it to my current address because glitches on the website forced me to order it twice to my apartment number. The Same glitch sent it to the wrong address. I wanted to order another jersey for my girl but I will not be doing that and will order from another company. I will also return the Jersey once I make my 300 mile drive to my old address.
261,I ordered some soccer cleats and i got the tracking number but i dont know who the carrier is. I'll give a 5 star if y'all tell me who the carrier is. They told me my carrier thanks
262,"More of a question, The new barcelona jersey is available in 3xl will it be us/uk sizing or will it be like china and to small, before i order ?"
263,"My order 12207006577. Got mail stating sent on 4/8/21. Never arrived. Mailed them. Received reply stating they were checcking with courier. Got no update. Mailed again, no reply. Going to try and get my money back."
264,"!The worst experience ever, order a pair of shoes and the size was incorrect,they send me a pair of kids shoes instead of adults size. Send it back to them for full refund after almost waiting for a week, they partially refunded my money. When I call them they said that they had to charge me for shipping so they had to keep the rest of the money and whatever you got back in the account that was for the cost of the item and they get to keep the rest for shipping and taxes. Update 7/25 !Got my money back!but all this negative review wouldn't had happen if lady in customer service would it help me in first place thanks!"
265,Always has a selection of bigger sizes for a big guy like myself. Very personable and helpful customer service whenever I have called. The turnaround time from time of order to shipment is relatively quick. Thanks again for the great experience.
266,I would like to refund my order. My order number is 422487570. I would like my money back asap. I’m also Canadian so I paid in CDN. The total was $373.10
267,"I order one expensive cleat for a Christmas gift, since Dec 1, on Dec 23 didn’t arrive ,I sent 3 emails no answers,did call but just a   answer machine not from a company ,not a track number, not a word, from them. Is this site a scam?"
268,"Order number 420263478 placed 11/8/21. Email says shipped 3 weeks later. After repeated requests, I was sent tracking number. It is invalid, it's not recognized. Asked PayPal to intervene. Asking for refund."
269,I ordered a jersey and it was too small so I returned it and bought a larger one. It’s been 2 months and I still have not received my refund for the one that was too small. I send 3 emails and nothing. Don’t buy form them.
270,"Ordered a liverpool away shirt and im pleased with it , took a little longer to come than other shops but they responded to my emails and even refunded the delivery charge, so overall was happy with world football shop"
271,Ordered 6.12.20..didnt come until 30.12.20..Shirt defective from Thailand and clearley a fake.. Have returned item 8.1.21 as asked and still no refund.. Website now says cannot be reached.. Avoid avoid avoid..
272,"Ordered a shirt on January 9th 2021, its now March 16th and the shirt has not arrived. I have tried numerous times to contact them via the information on the website and have heard nothing back.AVOID!!!"
273,my shirts nearing 5 months of not being delivered and i wouldnt put it past them to delay another 2 months waiting neary half a year for an order is ridiculous order number 420395662
274,"I made an order with number #418010815 on 11/16/20 for ""Liverpool 20/21 Away All Weather Jacket by Nike"". Before I made my purchase I send an email to them asking if this is an authentic nike product and the next day they replied me that ""Yes it is an official nike product"". So i made my order.At 12/04/20 the product arrived and I saw the label on the plastic cover that it is a replica product, not a genuine product. I tried to reach them several times with email and messenger but no reply until now. I asked for refund because they lied to me that this would be genuine product.This is not a professional behavior to customer and i will try to get my money back through my bank because i believe that this website is a fraud"
275,"Bought a jersey for my husband in October and am still waiting on jersey . Do not buy from this website, I’m just livid with this company. Life is stressful enough never mind dealing with this company"
276,My online order went very smoothly and without any hassles. I received my purchase on a timely basis. I would highly recommend shopping for any Soccer related gear From them. They offer a vast supply of options.
277,"I ordered a celtic top for a christmas present,3 weeks after the order and 3 emails asking where my order was with the same response saying the top would be in the uk this week and would be ready for delivery i realised it was coming from foreign lands your guess is as good as mine i phoned and actually got someone who obviously wished they hadnt answered because i was raging,told them what i thought demanded my money back and 4 days later ive got my money back,NEVER AGAIN------- they responded the next day to my review wanting to understand what went wrong  ,my advise to them is read 90% of other reviews and they can see what the problem is,most people say the same thing WHERES MY ORDER dont promise a few days tell them the truth"
278,"The website is very user friendly and easy to find products that you are looking for. The one critique I have is that it isn’t as visually pleasing as some other online retail websites, but is by no means bad."
279,I ordered predator 20 pro goalkeeper gloves blue and red. I never got the email that confirms the order. So I cant track it either. I ordered them 4 days ago and I don't know if they even shipped.
280,"I purchased some Neymar cleats pro on the 15th with the order number of 417775710 and it was supposed to arrive today but i got an email they canceled it, how do i get the money back?"
281,Taken the money out of the account(£53) and still no football shirt over a week later. Customer service phone rings off and email option comes up with an error message!!!! Not impressed.
282,Every time I order off worldsoccershope I know I’m getting an authentic jersey just wish the my had more smaller teams to order from but they have a good selection of the teams they do have
283,"order soccer cleats from the world soccer shop and also talk to the customer service, they still haven't shipped the order in three weeks. My order number is 420549814"
284,Ordered a football strip 29th December kept being told on live chat it would be dispatched next week we are now 6 weeks on and they now ignoring emails phone etc shocking company
285,"Quality and service used to be good but have gone down recently. Cutting corners on customized apparel as well, offering screen print shoulder badges in place of better-quality felt ones."
286,I ordered a jersey in July and was just told it's back ordered until mid-December.  Waiting 5 months for a delivery is absurd.  Definitely not using them again.
287,I had a good experience. The product provided was accurate to what was advertised. My only suggestion is to give consumers more confidence in their purchase by offering free returns.
288,Be careful what you order from them !! I ordered an authentic jersey and PAID for an authentic jersey but they sent a replica instead and never answered me about my concerns.
289,Ordered one $20 item. Paid $9 shipping since it was the only place that had the size needed. Took twelve days to receive it. I was unaware the pony express still existed.
290,"I ordered my jersey aug 26th and only got a processing email since then, i emailed them 3 days ago and never got a response. The order number is #3705"
291,Ordered a football shirt in first week of January I've neither received it or the refund i requested! Phone line doesn't work!!DO NOT ORDER IT'S A SCAM SITE
292,"Jersey really did come in top condition. it came quickly and safely. At first I was scared to order from world soccer shop, but now I will do it for anything I need."
293,Very poor quality jerseys and shipping took over a month! DO NOT BUY FROM HERE!
294,I ordered a pair of gloves and never received them! No answer on the phone or email... If someone could help please!!!! I ordered tgis for Christmas gift!!!
295,"I still don't receive my order, it's almost a month since i've ordered it, and i don't know is it gonna be sent or not. my order number 418927352"
296,"We ordered a number of jerseys. They split my order in two and the second part of the order contains only 1 instead of 4 jerseys. We've reached out several times and been waiting for a week for a follow-up email: no response.UPDATE OCTOBER 21: We've sent them another 2-3 emails. We've provided David F with the order number.--> NO REPLY.order 414597045 (we've sent numerous emails)UPDATE 10/22:David F has contacted us, replied promptly and fixed the issues as well as he could - which is good customer care. Rating changed to 4 stars.UPDATE 10/23: David F fixed the issue as far as possible, and on top of that made good for the frustration caused which we really appreciate. So despite the hiccups WorldSoccerShop showed their customers are important to them. Trust restored. All in all this was turned around to a 5 star experience.(Note: WSS did not request the initial review to be adjusted)"
297,"Great selection, great prices, great communication and speedy shipping!  I will keep coming back in the future, you have my business!  Thank you."
298,Great selection of soccer gear and apparel. A go-to for hardcore soccer fans or casual fans looking to grab the rest gear at competitive prices.
299,"Items should not take 11 days from Nc to Florida. Stop using freepost.If you say you are going to follow up with a customer,then follow up."
300,Ordered a childs chelsea football kit and the stitching is awful.   The word football foot is smaller than Ball not happy one bit with this
301,The cleats I ordered we in their “back order” and were expected to ship a MONTH after I ordered them so we returned the cleats. Awful service.
302,"I ordered several items.  One arrived, but the other items were delayed again.  My order emails come from info at 365sport.com.  416389896"
303,Ordered a Chicago Fire Jersey and got a completely different Chicago Fire Jersey than the one advertised on their website which they only have ONE!! Jersey was ordered on 11/15/2020 - Which ended up shipping two days later on the 17th once I received the Jersey it didn’t match what I ordered got a whole different Jersey same team just different Jersey.. Which makes no sense since the Jersey I received is not even on the website!!! I called customer service to see if I can get help... which was a complete headache since they didn’t even know why I got a Jersey not advertised on their own website... They said they would mail me a new one and here I am a month later haven’t received it yet.. Oh but they got their Jersey back already and didn’t even bother to send any confirmation of the new Jersey being shipped out or any tracking number provided!! I have ordered from them before but with this never again! I will just stick with ordering straight from manufacturers like Adidas Or Nike!!!!
304,I had a order of the as Roma 3rd kit 19/20 with Džeko on the back and a serie a patch but i didnt get the serie a patch on it.Order #2007
305,My son ordered a pair of Liverpool FC New Balance home shorts #22285.This was on 31st May and it’s now 16th June and have heard nothing.
306,"No updates on orders, no calls picked up. Very poor customer serviceDeal at your own riskOrder #420422545 placed on 8/24/21"
307,I ordered my husband a Nike hat!! Came right on time!! PERFECT FIT... L/XL My husband has a big head!! Only place had his style and size!!
308,Placed order July 17 still no update after confirmation. Sent customer service email and still no response. Order # 419947386
309,Very nice website. Prices are a bit higher than other sites but all in all Worldsoccershop is my first place to look for soccer gear.
310,"Still waiting for my order after 2 weeks, no email updates and customer service number goes to automated message and then cuts off"
311,great experience. Perhaps they need to inform more about sizes. Sometimes size charts from different brands has different dimensions
312,"Ordered cleats for my daughter on 8/18, estimated delivery date was 8/25. On 8/25 the estimated delivery date changed to no delivery date available at this time.  A few days later a new delivery date of 9/5 showed up, on 9/5 the delivery date again was changed to no delivery date available at this time.  I checked customer service on the website and found out the company knew the shipping was running 2 weeks behind but still advertised a date knowing they would not be able to meet that posted date.  I called customer service only to be told once it is shipped it is out of their hands and she is sorry but I should have it by the end of the week.  My daughter plays collegiate soccer and developed a hole in her current cleats and she is not local to me, I was expecting her to have her cleats two weeks ago and still no cleats and no idea a to when they will arrive.  I paid $11 for shipping for what?  and again all I was offered is sorry and they should be there by the end of the week.  I also emailed customer service 2 days ago and still haven't received a response.  Order #420348585"
313,"Their Twitter Account @WrldSoccerShop are scamming people for likes and followers. They do this by encouraging ppl to guess the score before kick off, tag a friend & winner will win a jersey kit. I literally was the only person to guess the score correctly (3-0 AC Milan) & they never DM’d me for my prize despite saying they would. False advertising & scam artists! Will NEVER buy from them. I wish everyone would report them on Twitter too. This was the originating Twitter post:Copy/Paste link below in Twitter.com to see the originating post:  /wrldsoccershop/status/1391414416286101505?s=21UPDATE: David F is defending the scam contest! EVERY post is shown on Twitter and it would show a box “you can’t view this tweet” if there was a privacy setting in place on that particular account. No such box exists in the comments!! Please everyone report them on Twitter and don’t support this business. Scam artists who only care about their profits. And to think I was going to ask them to add a soccer ball in which I’d pay for it. They also blocked me — stay classy ✌️"
314,Poor poor poor small not a xl stitching out every where got away one and everything different rubbish what my money back fake
315,My new 2018/19 Crystal Palace home shirt is now the most beautiful thing I own. It was also reasonably priced and got here fast.
316,Easy to use. Good selection. Never had any issues using the website. I always use it and will continue to do so in the future.
317,"This is the number 1 site I go to for soccer merchandise. Always good pricing and great service and shipping time, every time."
318,moderate online sales rate ...i like to order my sport kitts from worldsoccershop.com..good site to purchase any sport kitt
319,WorldSoccerShop is without a doubt the best place to get your soccer gear. Here you could find the best prices in the market.
320,"Still waiting on my order after nearly 2 weeks, not received any updates and the phone number cuts off. Order number 20457"
321,No Email confirmation of purchase and no chance to speak to customer services. Can someone contact me please. Order 27036
322,"We wore KEP for our wedding and unfortunately the experience we had was overall stressful and disappointing. We would not recommend KEP to anyone that has a strict deadline and/or anyone who expects a high level of customer service. After receiving a few recommendations from friends, my now husband and I made an appointment in the NYC store on May 10 looking for white jackets and black pants (for made to measure) for our wedding on the west coast on August 20 (so, at least 3 months in advance). After a LOT of back and forth (finding white vs. cream fabric is a lot more difficult than it sounds) we finally found fabric that we wanted and on May 24 went through the entire process of getting measured and paying a lot of money (thousands of dollars each) for the outfits. Since KEP was a well-known brand, especially in the gay community, we were excited about our decision to splurge a little bit on this, with the expectation that the service would be great and that this would be something we didn’t need to stress out about last-minute. We were very wrong. Fast forward a month later, on June 21, we received a call from KEP saying that they actually didn’t have enough of the white fabric we chose to make two jackets, and there wasn’t enough time to wait until they received more in stock. So they said we should come back in to pick a different fabric. Since we already paid and already got measured and frankly didn’t have enough time to go elsewhere, we rushed into the store to pick a different fabric. The new fabric we chose cost more than our original, and given the situation KEP offered it to us at no additional charge. We felt like things were back on track and looked forward to our fitting a few weeks before the wedding to make any last-minute adjustments. More time goes by, and then we hear from KEP saying that they need to push our fitting from a few weeks before the wedding to 10 days before the wedding. We became more nervous, especially because we had planned for KEP to ship the outfits to the west coast so we wouldn’t have to travel with them. Then, when that date approached, KEP said we would have to push it to 8 days before the wedding (the Friday before). We became more nervous. When we came to the fitting, we learned that only the jackets were ready, and not the pants. The jackets needed adjustments. We asked when the pants would be ready for us to try on and they said they would let us know ASAP. The entire weekend went by and we did not hear anything from them. We called, messaged, and texted just about everyone we could find who works at the company and heard nothing until Monday morning (5 days before the wedding), when they said that everything is fine and that they are shipping our pants directly to the west coast. This obviously made us extremely nervous because this meant that we wouldn’t be able to trying our pants on prior to the wedding. We asked them to ship the pants to the west coast as soon as possible so we could get them tailored there if necessary. Miray (the co-founder of KEP), instead of apologizing for the last-minute scramble and rushing, reminded us how they have been good partners and assured us that the pants would be fine and that we had nothing to worry about. The pants arrived on the west coast 3 days before the wedding and they were, as expected, too big. In the midst of everything else going on, we had to rush a tailoring job (through a tailor we found on our own) and paid $90 to fix the pants. We picked up the pants the morning of the wedding.The thing that bothered us most was not the fact that our outfits arrived behind schedule. It was the extreme lack of service we experienced throughout the entire process. Communicating with the co-founder of the company, as well as the NYC representative, was always terribly painful. There was a lack of responsiveness, a lack of answers, and a lack of urgency. For a high-end store, we found the service to be seriously disappointing. Having to deal with last-minute adjustments before your wedding (among everything else) is one of the most stressful experiences in itself, but the feeling of having to deal with it alone, without the support of the company you just paid thousands of dollars to, is the highest insult. No one from KEP ever apologized for this experience, instead saying that they understand weddings can be stressful.After the wedding, we emailed Miray asking if they could reimburse us for the $90 rush tailoring. She did not respond. I followed up and said that we were planning to write reviews of all of our wedding vendors online. She did not respond."
323,"There have been several occasions where my sales associate seems either mildly annoyed or clearly contemptuous of my asking detail-oriented questions about the $1500 suits I’m commissioning. Perhaps I’m too proletariat to appreciate the finer things in life but there does seem to be a snooty trend among the customer facing retail operators. That said, I LOVE my suits and keep coming back because the overall experience is excellent."
324,"Waiton and crew went above and beyond to make sure my suit was delivered before my wedding, and the suit they delivered was absolutely stunning. I will trust them will all my future business and will highly recommend them to anyone looking to purchase a suit. I truly can’t speak highly enough of their customer service and the quality of their suits."
325,"This place is at the intersection of top customer service and quality material. Josh and Evangel made me feel very welcome and answered all my questions with style and pose. By the end of the week, I found myself just wanting to stop in to say hi to my new friends. Definitely my go-to spot for all my future Vegas dapper fashion needs. (Also very LGBTQ friendly for any bois wanting a clean fit). Thanks again for making me look so good on stage!"
326,"Ric and Jeff are great! They created an experience at Klein, Epstein and Parker which has me immediately say I am a regular client. We created a suit expressing exactly who I am for my clients. Looking forward to expanding my wardrobe from Klein, Epstein and Parker with Ric and Jeff."
327,"Tyson was AMAZING, as well as all the other amazing gentlemen who so kindly assisted me in my first purchase in Las Vegas!You have earned a customer for life that’s for sure! Exceptional service, 10 stars!"
328,"The entire team at the Fashion Valley location are always friendly, stylish and very accommodating. They get excited about the clothing which makes me even more excited to see the piece come to fruition."
329,"Incredible and impressive knowledge! Yet perhaps more importantly, being able to advise on all the elements that go towards making a customized suit. Felt very comfortable and confident in my purchase."
330,"Rude and unprofessional staff - customer experience is not their priority. The quality of their work is inconsistent. For the price point, might as well go to a JoS. A. Bank"
